Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families,Irish,EEA/UK,Non-EEA,Month,Year
South-West,563,357,206,65,333,152,13,373,191,0,0,96,144,61,195,398,88,77,July,2023
West,355,194,161,75,172,100,8,269,86,0,0,101,151,58,212,284,43,28,July,2023
Dublin,6305,3910,2395,1129,3324,1752,100,3823,2446,36,0,1370,2339,753,2964,3247,1600,1458,August,2023
Mid-East,438,222,216,85,197,136,20,269,164,5,3,90,139,49,159,292,87,59,August,2023
Midlands,162,87,75,29,76,52,5,124,0,37,1,39,57,22,69,122,18,22,August,2023
Mid-West,396,229,167,53,222,113,8,117,262,20,0,88,118,63,139,307,51,38,August,2023
North-East,183,99,84,32,95,47,9,96,74,2,14,38,62,24,87,118,30,35,August,2023
North-West,122,80,42,14,75,29,4,73,32,17,0,17,21,14,44,99,17,6,August,2023
South-East,242,157,85,31,141,62,8,67,176,0,0,40,50,31,59,202,29,11,August,2023
South-West,577,364,213,72,341,152,12,390,188,0,0,100,159,62,195,405,89,83,August,2023
West,371,207,164,75,179,107,10,273,95,2,1,104,161,55,179,294,46,31,August,2023
Dublin,6425,3998,2427,1136,3411,1779,99,3975,2413,37,0,1377,2340,761,2966,3267,1635,1523,September,2023
Mid-East,421,255,166,78,193,129,21,258,155,5,3,98,159,57,161,274,87,60,September,2023
Midlands,169,89,80,27,80,57,5,123,0,40,6,40,55,26,57,125,23,21,September,2023
Mid-West,411,237,174,59,221,121,10,128,266,26,0,87,117,61,137,315,58,38,September,2023
North-East,185,98,87,28,102,45,10,93,75,2,18,34,55,22,83,116,33,36,September,2023
North-West,126,83,43,16,76,29,5,77,32,17,0,14,20,9,29,101,19,6,September,2023
South-East,257,165,92,33,145,70,9,76,181,0,0,38,46,30,50,217,29,11,September,2023
South-West,577,360,217,63,345,155,14,391,188,0,0,103,156,67,201,406,87,84,September,2023
West,352,193,159,70,178,93,11,255,96,2,1,101,153,56,220,280,40,32,September,2023
Dublin,6653,4176,2477,1168,3534,1847,104,4197,2419,37,3,1419,2415,776,3060,3332,1724,1597,October,2023
Mid-East,416,251,165,70,187,135,24,258,152,3,3,92,144,57,147,278,88,50,October,2023
Midlands,166,86,80,26,76,59,5,90,0,70,6,35,46,24,55,120,26,20,October,2023
Mid-West,406,233,173,62,206,128,10,125,265,29,0,80,104,59,122,322,53,31,October,2023
North-East,198,106,92,33,106,49,10,110,88,3,0,42,75,24,89,114,37,47,October,2023
North-West,130,88,42,16,73,34,7,82,32,16,0,13,20,8,29,104,18,8,October,2023
South-East,275,178,97,33,153,82,7,85,190,0,0,45,58,33,62,226,31,18,October,2023
South-West,584,367,217,73,338,161,12,387,198,0,0,105,162,67,207,411,82,91,October,2023
West,360,198,162,76,177,96,11,266,94,0,0,108,164,59,220,280,46,34,October,2023
Dublin,6790,4274,2516,1186,3625,1874,105,4400,2351,39,0,1445,2474,771,3116,3374,1754,1662,November,2023
Mid-East,427,255,172,73,187,145,22,263,161,3,3,100,156,62,157,283,90,54,November,2023
Midlands,168,89,79,25,81,58,4,127,6,35,0,37,49,25,65,126,22,20,November,2023
Mid-West,430,246,184,69,223,129,9,145,271,20,0,91,129,63,149,339,55,36,November,2023
North-East,209,109,100,36,102,59,12,120,86,4,0,49,84,33,99,123,42,44,November,2023
North-West,144,97,47,15,82,39,8,96,43,5,0,15,21,10,33,110,24,10,November,2023
South-East,277,173,104,72,157,79,5,83,194,0,0,51,63,41,73,221,36,20,November,2023
South-West,590,377,213,75,344,158,16,398,192,0,0,107,168,69,204,418,87,85,November,2023
West,374,206,168,,188,99,12,274,99,0,1,105,155,60,209,284,57,33,November,2023
Dublin,6754,4250,2504,1174,3599,1872,109,4443,2274,37,0,1400,2424,736,3020,3307,1745,1702,December,2023
Mid-East,417,257,160,78,180,139,20,261,150,3,3,88,140,49,145,276,88,53,December,2023
Midlands,169,96,73,22,85,59,3,126,0,37,6,33,43,23,58,130,20,19,December,2023
Mid-West,426,239,187,73,217,125,11,144,265,25,0,87,123,63,135,344,51,31,December,2023
North-East,194,101,93,33,92,61,8,113,79,2,0,38,55,26,75,128,33,33,December,2023
North-West,142,94,48,15,77,42,8,94,33,15,0,19,26,13,48,106,26,10,December,2023
South-East,267,172,95,39,153,69,6,81,186,0,0,39,50,30,58,213,33,21,December,2023
South-West,582,373,209,70,337,157,18,385,198,0,0,105,157,71,198,416,78,88,December,2023
West,405,226,179,77,200,112,16,288,93,24,0,107,167,54,225,308,64,33,December,2023
,,,,,,,,264774,,,,,,,,,,,,
