Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families,Irish,EEA/UK,Non-EEA,Month,Year
South-East,313,203,110,61,161,82,9,110,184,3,16,37,52,22,65,,,,March,2019
South-West,534,313,221,64,322,133,15,315,222,0,0,125,167,83,289,,,,March,2019
West,348,206,142,47,190,99,12,215,127,0,6,85,117,53,213,,,,March,2019
Dublin,4401,2538,1863,582,2647,1105,67,2118,2330,69,0,1284,1830,738,2769,,,,April,2019
Mid-East,303,189,114,33,185,76,9,183,113,3,4,59,88,30,144,,,,April,2019
Midlands,122,62,60,29,62,29,2,83,39,0,0,30,45,15,79,,,,April,2019
Mid-West,331,219,112,54,181,89,7,117,176,38,0,75,100,50,139,,,,April,2019
North-East,178,113,65,26,98,41,13,108,69,1,0,18,27,9,42,,,,April,2019
North-West,48,33,15,7,28,11,2,16,20,11,1,8,13,3,22,,,,April,2019
South-East,304,206,98,58,161,77,8,98,186,3,17,38,53,23,67,,,,April,2019
South-West,556,320,236,74,343,125,14,339,222,0,0,137,190,84,314,,,,April,2019
West,341,204,137,40,191,98,12,206,129,0,7,80,109,51,218,,,,April,2019
Dublin,4367,2542,1825,571,2616,1107,73,2097,2316,72,0,1275,1822,728,2771,,,,May,2019
Mid-East,294,178,116,30,177,80,7,177,110,3,4,56,85,27,135,,,,May,2019
Midlands,105,43,62,24,55,23,3,67,38,0,0,20,29,11,54,,,,May,2019
Mid-West,341,224,117,52,188,95,6,116,186,39,0,79,104,54,147,,,,May,2019
North-East,176,115,61,24,99,39,14,104,71,1,0,15,20,10,36,,,,May,2019
North-West,50,36,14,7,29,12,2,12,25,12,1,7,12,2,24,,,,May,2019
South-East,295,194,101,58,151,79,7,85,191,4,15,36,50,22,64,,,,May,2019
South-West,552,322,230,74,332,131,15,350,207,0,0,132,183,81,318,,,,May,2019
West,324,190,134,39,180,94,11,209,108,0,7,80,107,53,200,,,,May,2019
Dublin,4356,2529,1827,572,2600,1112,72,2157,2275,68,0,1249,1784,714,2722,,,,June,2019
Mid-East,294,176,118,31,173,80,10,188,99,3,4,58,86,30,139,,,,June,2019
Midlands,107,51,56,23,57,25,2,68,39,0,0,24,35,13,65,,,,June,2019
Mid-West,332,213,119,39,192,93,8,111,185,36,0,75,100,50,138,,,,June,2019
North-East,182,118,64,23,105,41,13,107,73,1,1,20,27,13,46,,,,June,2019
North-West,55,39,16,7,32,14,2,12,26,10,7,7,11,3,25,,,,June,2019
South-East,284,185,99,56,143,78,7,77,191,4,12,31,43,19,57,,,,June,2019
South-West,550,323,227,72,332,130,16,339,214,0,0,135,178,92,284,,,,June,2019
West,337,192,145,44,186,95,12,215,117,0,5,87,123,51,199,,,,June,2019
Dublin,4300,2448,1852,580,2490,1154,76,2191,2106,73,0,1265,1807,723,2776,,,,July,2019
Mid-East,306,177,129,38,180,79,9,205,94,3,4,68,98,38,163,,,,July,2019
Midlands,119,55,64,29,59,29,2,78,41,0,0,25,36,14,60,,,,July,2019
Mid-West,343,212,131,44,195,96,8,113,189,41,0,81,105,57,154,,,,July,2019
North-East,187,118,69,28,105,42,12,117,69,1,0,19,26,12,41,,,,July,2019
North-West,54,40,14,8,27,16,3,15,24,11,4,7,11,3,24,,,,July,2019
South-East,263,173,90,48,138,71,6,61,177,11,14,33,45,21,60,,,,July,2019
South-West,575,336,239,79,340,141,15,363,212,0,0,143,192,94,315,,,,July,2019
West,350,200,150,51,192,95,12,227,123,0,0,80,117,43,185,,,,July,2019
Dublin,4312,2447,1865,569,2511,1153,79,2260,2078,67,0,1280,1831,729,2850,,,,August,2019
Mid-East,327,193,134,44,193,81,9,223,98,3,4,79,116,42,182,,,,August,2019
Midlands,98,47,51,20,50,28,0,61,12,25,0,22,31,13,49,,,,August,2019
Mid-West,323,202,121,46,170,100,7,103,186,34,0,76,97,55,141,,,,August,2019
North-East,179,106,73,32,102,34,11,112,66,1,0,19,24,14,40,,,,August,2019
North-West,51,35,16,12,27,10,2,10,24,11,6,6,10,2,20,,,,August,2019
South-East,266,170,96,51,136,73,6,64,174,10,18,30,43,17,57,,,,August,2019
South-West,583,345,238,87,338,136,22,375,13,195,0,131,181,81,309,,,,August,2019
West,351,210,141,49,195,95,12,229,122,0,0,83,121,45,200,,,,August,2019
Dublin,4370,2486,1884,582,2535,1175,78,2269,2098,70,0,1294,1862,726,2872,,,,September,2019
Mid-East,316,186,130,49,180,77,10,222,91,3,0,86,126,46,191,,,,September,2019
Midlands,94,43,51,15,54,25,0,58,12,24,0,26,34,18,61,,,,September,2019
Mid-West,324,192,132,53,175,90,6,108,177,40,0,81,105,57,142,,,,September,2019
North-East,169,101,68,34,89,34,12,111,58,0,0,29,37,21,49,,,,September,2019
North-West,55,35,20,8,31,15,1,16,25,12,2,5,9,1,17,,,,September,2019
South-East,256,171,85,57,126,66,7,67,178,10,1,22,32,12,40,,,,September,2019
South-West,592,356,236,94,322,155,21,356,237,0,0,124,167,81,288,,,,September,2019
West,348,211,137,44,194,97,13,218,128,0,2,89,129,49,213,,,,September,2019
Dublin,4534,2658,1876,583,2671,1201,79,2260,2321,65,0,1270,1840,700,2795,,,,October,2019
Mid-East,319,191,128,49,173,85,12,214,102,3,0,86,127,45,198,,,,October,2019
Midlands,96,46,50,18,55,23,0,59,12,25,0,23,29,17,55,,,,October,2019
Mid-West,345,203,142,53,195,91,6,128,180,37,0,88,114,62,163,,,,October,2019
North-East,144,87,57,28,76,30,10,92,52,0,0,27,34,20,47,,,,October,2019
North-West,65,44,21,12,37,15,1,20,29,13,3,8,11,5,19,,,,October,2019
South-East,237,161,76,46,114,69,8,70,156,3,8,21,30,12,46,,,,October,2019
South-West,608,378,230,79,346,159,24,360,248,0,0,125,173,77,291,,,,October,2019
West,340,196,144,41,192,93,14,214,121,0,5,85,126,44,212,,,,October,2019
Dublin,4509,2636,1873,557,2635,1228,89,2372,2314,64,0,1256,1822,690,2782,,,,November,2019
Mid-East,322,197,125,43,183,85,11,199,120,3,0,82,121,43,190,,,,November,2019
Midlands,97,45,52,20,53,24,0,60,12,25,0,25,32,18,55,,,,November,2019
Mid-West,369,222,147,49,214,98,8,137,190,42,0,76,99,53,140,,,,November,2019
North-East,141,85,56,24,75,32,10,84,57,0,0,20,23,17,33,,,,November,2019
